customer_id,customer_name,region,signup_date
101,Anna 1,West,2021-11-30
102,Oliver 2,Central,2020-08-28
103,Emma 3,West,2021-04-16
104,Anna 4,Central,2023-03-15
105,Anna 5,North,2020-10-26
106,Mia 6,Central,2020-12-18
107,David 7,West,2021-09-03
108,Chris 8,East,2023-08-08
109,Oliver 9,South,2023-07-16
110,John 10,West,2022-12-21
111,Anna 11,West,2020-09-23
112,Laura 12,East,2022-10-02
113,Emma 13,North,2021-09-23
114,Laura 14,South,2023-06-24
115,Anna 15,Central,2021-12-20
116,Michael 16,East,2022-09-20
117,Anna 17,East,2023-04-18
118,David 18,Central,2023-02-03
119,John 19,North,2023-02-10
120,Chris 20,Central,2021-08-22
121,Anna 21,East,2023-05-24
122,John 22,West,2022-01-27
123,Oliver 23,South,2022-02-20
124,Laura 24,North,2021-07-09
125,David 25,East,2021-06-20
126,John 26,East,2023-06-30
127,David 27,South,2022-12-02
128,Chris 28,North,2022-07-31
129,Oliver 29,Central,2021-11-28
130,Chris 30,South,2021-04-14
131,Anna 31,North,2022-05-31
132,Laura 32,South,2022-01-26
133,Sarah 33,North,2021-04-21
134,David 34,North,2022-05-03
135,Anna 35,Central,2022-08-04
136,Anna 36,East,2020-08-26
137,Oliver 37,North,2021-08-13
138,David 38,East,2021-06-12
139,Chris 39,North,2021-09-27
140,John 40,South,2020-02-04
